broker_name,race_100m,long_jump,shot_put,race_400m,rank,points,competition
Sebrle,11.04,7.58,14.83,49.81,1,8217,Decastar
Clay,10.76,7.4,14.26,49.37,2,8122,Decastar
Karpov,11.02,7.3,14.77,48.37,3,8099,Decastar
Bernard,11.02,7.23,14.25,48.93,4,8067,Decastar
Yurkov,11.34,7.09,15.19,50.42,5,8036,Decastar
Warners,11.11,7.6,14.31,48.68,6,8030,Decastar
Zsivoczky,11.13,7.3,13.48,48.62,7,8004,Decastar
Mcmullen,10.83,7.31,13.76,49.91,8,7995,Decastar
Martineau,11.64,6.81,14.57,50.14,9,7802,Decastar
Hernu,11.37,7.56,14.41,51.1,10,7733,Decastar
Barras,11.33,6.97,14.09,49.48,11,7708,Decastar
Nool,11.33,7.27,12.68,49.2,12,7651,Decastar
Bourguignon,11.36,6.8,13.46,51.16,13,7313,Decastar
Sebrle,10.85,7.84,16.36,48.36,1,8893,OlympicG
Clay,10.44,7.96,15.23,49.19,2,8820,OlympicG
Karpov,10.5,7.81,15.93,46.81,3,8725,OlympicG
Macey,10.89,7.47,15.73,48.97,4,8414,OlympicG
Warners,10.62,7.74,14.48,47.97,5,8343,OlympicG
Zsivoczky,10.91,7.14,15.31,49.4,6,8287,OlympicG
Hernu,10.97,7.19,14.65,48.73,7,8237,OlympicG
Nool,10.8,7.53,14.26,48.81,8,8235,OlympicG
Bernard,10.69,7.48,14.8,49.13,9,8225,OlympicG
Schwarzl,10.98,7.49,14.01,49.76,10,8102,OlympicG
Pogorelov,10.95,7.31,15.1,50.79,11,8084,OlympicG
Schoenbeck,10.9,7.3,14.77,50.3,12,8077,OlympicG
Barras,11.14,6.99,14.91,49.41,13,8067,OlympicG
Smith,10.85,6.81,15.24,49.27,14,8023,OlympicG
Averyanov,10.55,7.34,14.44,49.72,15,8021,OlympicG
Ojaniemi,10.68,7.5,14.97,49.12,16,8006,OlympicG
Smirnov,10.89,7.07,13.88,49.11,17,7993,OlympicG
Qi,11.06,7.34,13.55,49.65,18,7934,OlympicG
Drews,10.87,7.38,13.07,48.51,19,7926,OlympicG
Parkhomenko,11.14,6.61,15.69,51.04,20,7918,OlympicG
Terek,10.92,6.94,15.15,49.56,21,7893,OlympicG
Gomez,11.08,7.26,14.57,48.61,22,7865,OlympicG
Turi,11.08,6.91,13.62,51.67,23,7708,OlympicG
Lorenzo,11.1,7.03,13.22,49.34,24,7592,OlympicG
Karlivans,11.33,7.26,13.3,50.54,25,7583,OlympicG
Korkizoglou,10.86,7.07,14.81,51.16,26,7573,OlympicG
Uldal,11.23,6.99,13.53,50.95,27,7495,OlympicG
Casarsa,11.36,6.68,14.92,53.2,28,7404,OlympicG
